nombre,muni_id,cod_dane,id_sede,jornada
CE BEBARAMA - SEDE PRINCIPA,,227001000696,537767,C
SEDE LA PLATINA,,227001000696,537768,T
SEDE LA PLATINA,,227001000696,537770,C
SEDE EL PLAYON,,227001000696,537771,T
SEDE EL PLAYON,,227001000696,537773,C
SEDE TUTUMACO,,227001000696,537774,T
SEDE TUTUMACO,,227001000696,537776,C
ESC RUR MIX DE CAMPO ALEGRE,,227001000696,537777,T
ESC RUR MIX DE CAMPO ALEGRE,,227001000696,537779,C
SEDE  EL LIMON,,227001000696,537780,T
SEDE  EL LIMON,,227001000696,537782,C
CE INDÍGENA EMBERA JOSELITO,,227001004250,537786,T
CE INDÍGENA EMBERA JOSELITO,,227001004250,537788,C
SEDE INDÍGENA DEL PASO EL S,,227001004250,537789,T
SEDE INDÍGENA DEL PASO EL S,,227001004250,537791,C
SEDE INDÍGENA DE TANGUI,,227001004250,537819,T
SEDE INDÍGENA DE TANGUI,,227001004250,537821,C
INSTITUCIÓN EDUCATIVA CHIPR,,117001000157,537876,T
INSTITUCIÓN EDUCATIVA CHIPR,,117001000157,537878,C
EL NOGAL,,173283000038,538029,C
CAMPEON BAJO,,173283000038,538030,T
CAMPEON BAJO,,173283000038,538032,C
CAMPEON MEDIO,,173283000038,538033,T
CAMPEON MEDIO,,173283000038,538035,C
CAMPEON ALTO,,173283000038,538036,T
CAMPEON ALTO,,173283000038,538038,C
ALTO GRANDE,,173283000038,538039,T
ALTO GRANDE,,173283000038,538041,C
EL BOSQUE,,173283000038,538045,T
EL BOSQUE,,173283000038,538047,C
LOS GUADUALES,,173283000038,538048,T
LOS GUADUALES,,173283000038,538050,C
SEDE INDÍGENA MEMBA,,227077001438,538392,T
SEDE INDÍGENA MEMBA,,227077001438,538394,C
IE INDÍGENA DE PESCADITO -,,227073002012,538419,T
IE INDÍGENA DE PESCADITO -,,227073002012,538421,C
SEDE INDÍGENA DE PASAGUEDA,,227073002012,538422,T
SEDE INDÍGENA DE PASAGUEDA,,227073002012,538424,C
SEDE INDÍGENA DE DOS QUEBRA,,227073000020,538425,T
SEDE INDÍGENA DE DOS QUEBRA,,227073000020,538427,C
SEDE INDÍGENA DE ALTO CHUIG,,227073002012,538428,T
SEDE INDÍGENA DE ALTO CHUIG,,227073002012,538430,C
SEDE INDÍGENA DE PALMIRA,,227073000020,538431,T
SEDE INDÍGENA DE PALMIRA,,227073000020,538433,C
SEDE INDÍGENA DE IRACAL,,227073002012,538434,T
SEDE INDÍGENA DE IRACAL,,227073002012,538436,C
SEDE INDÍGENA DE LIMON ALTO,,227073000020,538437,T
SEDE INDÍGENA DE LIMON ALTO,,227073000020,538439,C
I.E. COYARCÓ - SEDE PRINCIP,,273217000072,538624,T
I.E. COYARCÓ - SEDE PRINCIP,,273217000072,538626,C
ACEVEDO Y GOMEZ,,273217000072,538627,T
ACEVEDO Y GOMEZ,,273217000072,538629,C
LOMA DE GUAGUARCO,,273217000072,538630,T
LOMA DE GUAGUARCO,,273217000072,538632,C
CABILDO INDIGENA LOMAS DE H,,273217000072,538633,T
CABILDO INDIGENA LOMAS DE H,,273217000072,538635,C
GUAGUARCO PALMAROSA,,273217000072,538636,T
GUAGUARCO PALMAROSA,,273217000072,538638,C
C. E. R. INDIGENISTA VALLE,,205847001471,538651,M
C. E. R. INDIGENISTA VALLE,,205847001471,538652,T
C. E. R. INDIGENISTA VALLE,,205847001471,538653,C
C. E. R. CURVATA,,205847001471,538657,M
C. E. R. CURVATA,,205847001471,538658,T
C. E. R. CURVATA,,205847001471,538659,C
C. E. R. SAN VIDAL,,205847000440,538672,M
C. E. R. SAN VIDAL,,205847000440,538673,T
C. E. R. SAN VIDAL,,205847000440,538674,C
C. E. R. VASQUEZ,,205847001471,538675,M
C. E. R. VASQUEZ,,205847001471,538676,T
C. E. R. VASQUEZ,,205847001471,538677,C
C. E. R. CHAQUE,,205847000440,538678,M
C. E. R. CHAQUE,,205847000440,538679,T
C. E. R. CHAQUE,,205847000440,538680,C
C. E. R. PLACER-ARGAEZ,,205847001471,538681,M
C. E. R. PLACER-ARGAEZ,,205847001471,538682,T
C. E. R. PLACER-ARGAEZ,,205847001471,538683,C
C. E. R. INDIGENISTA MAJORE,,205847001471,538684,M
C. E. R. INDIGENISTA MAJORE,,205847001471,538685,T
C. E. R. INDIGENISTA MAJORE,,205847001471,538686,C
C. E. R. INDIGENISTA ANDABU,,205847001471,538687,M
C. E. R. INDIGENISTA ANDABU,,205847001471,538688,T
C. E. R. INDIGENISTA ANDABU,,205847001471,538689,C
C. E. R. SAN ANTONIO,,205847001471,538696,M
C. E. R. SAN ANTONIO,,205847001471,538697,T
C. E. R. SAN ANTONIO,,205847001471,538698,C
C. E. R. INDIGENISTA PENDER,,205847001471,538699,M
C. E. R. INDIGENISTA PENDER,,205847001471,538700,T
C. E. R. INDIGENISTA PENDER,,205847001471,538701,C
C. E. R. GUABINA,,205847001471,538705,M
C. E. R. GUABINA,,205847001471,538706,T
C. E. R. GUABINA,,205847001471,538707,C
SEDE INDÍGENA DE CHURINA,,227073002012,538811,T
SEDE INDÍGENA DE CHURINA,,227073002012,538813,C
IE INDÍGENA VIVICORA - SEDE,,227073000020,538814,T
IE INDÍGENA VIVICORA - SEDE,,227073000020,538816,C
SEDE INDÍGENA MAZURA,,227073000020,538817,T
SEDE INDÍGENA MAZURA,,227073000020,538819,C
CE INDÍGENA CAIMITAL - SEDE,,227077001438,538820,T
CE INDÍGENA CAIMITAL - SEDE,,227077001438,538822,C
SEDE INDÍGENA DE DABEIDA,,227077001438,538832,T
SEDE INDÍGENA DE DABEIDA,,227077001438,538834,C
SEDE INDÍGENA DE URIPA,,227073000241,538862,T
SEDE INDÍGENA DE URIPA,,227073000241,538864,C
SEDE INDÍGENA DE SANTA ISAB,,227073000020,538865,T
SEDE INDÍGENA DE SANTA ISAB,,227073000020,538867,C
IE INDÍGENA LUIS ENRIQUE AR,,227073000241,538868,T
IE INDÍGENA LUIS ENRIQUE AR,,227073000241,538870,C
SEDE INDÍGENA DE ALTO ANDIA,,227073000241,538871,T
SEDE INDÍGENA DE ALTO ANDIA,,227073000241,538873,C
SEDE INDÍGENA DE PENINSULA,,227073000241,538874,T
SEDE INDÍGENA DE PENINSULA,,227073000241,538876,C
SEDE INDÍGENA DE CONONDO,,227073000241,538877,T
SEDE INDÍGENA DE CONONDO,,227073000241,538879,C
SEDE INDÍGENA DE CEBEDE,,227073000241,538880,T
SEDE INDÍGENA DE CEBEDE,,227073000241,538882,C
SEDE INDÍGENA DE MATECAÑA,,227073000241,538883,T
SEDE INDÍGENA DE MATECAÑA,,227073000241,538885,C
SEDE INDÍGENA DE OCOTUMBO,,227073000241,538886,T
SEDE INDÍGENA DE OCOTUMBO,,227073000241,538888,C
SEDE INDÍGENA DE MOJARRITA,,227073002012,538958,T
SEDE INDÍGENA DE MOJARRITA,,227073002012,538960,C
ALFONSO LOPEZ,,273217001001,539037,T
ALFONSO LOPEZ,,273217001001,539039,C
EL R0SARIO,,273217001001,539040,T
EL R0SARIO,,273217001001,539042,C
MESAS DE SAN JUAN,,273217001001,539043,T
MESAS DE SAN JUAN,,273217001001,539045,C
CASCABEL,,273217001001,539046,T
CASCABEL,,273217001001,539048,C
I.E. JUAN LOZANO SANCHEZ -,,273217001001,539049,T
I.E. JUAN LOZANO SANCHEZ -,,273217001001,539051,C
EL FLORAL,,273217000072,539070,T
EL FLORAL,,273217000072,539072,C
SAN JOSE DE ARENALES,,173226000056,539159,T
SAN JOSE DE ARENALES,,173226000056,539161,C
EL TUNEL,,263130000241,539297,T
EL TUNEL,,263130000241,539299,C
SANTO DOMINGO ALTO,,263130000241,539300,T
