nombre,muni_id,cod_dane,id_sede,jornada
ESCUELA RURAL HATOVIEJO,68370,268872000171,184914,M
ESCUELA RURAL POZO POMARROS,68370,268872000171,184917,M
ESCUELA RURAL MACAREGUA HAT,68872,368872000051,184920,M
ESCUELA RURAL SANTA ROSA,68370,268872000171,184923,M
COLEGIO NUESTRA SEÑORA DE F,68370,268872000171,184926,M
ESCUELA URBANA JORDAN,68370,268872000171,184929,M
ESCUELA RURAL POZO GUASIMO,68370,268872000171,184932,M
ESCUELA RURAL SAN JOSE DE M,68370,268872000171,184935,M
ESCUELA RURAL EL POTRERO,68370,268872000171,184938,M
SANTA FE,70400,170400000011,184947,M
EL NARANJAL,70418,270418000021,184950,M
LA ALDEA,70418,270418000021,184956,M
CENT DOC NO 22  GILBERTO AL,76122,276122000201,185289,M
CENT DOC   NO  29 POLICARPA,76122,276122000201,185292,M
CENT DOC  NO 24 SANTA TERES,76122,276122000201,185295,M
CENT DOC  NO 34 EL PARAISO,76122,276122000201,185298,M
CENT DOC NO 43  HERACLIO  U,76122,276122000201,185307,M
ESC RUR  MIX  NO 47  JUAN P,76122,276122000201,185310,M
,25754,325754001433,185562,
,47001,347001004972,185601,
,47001,347001007751,185616,
,47555,347555000219,185640,
ESCUELA RURAL EL CHORO BAJO,68872,368872000051,185649,M
ESCUELA RURAL EL CAUCHO,68872,368872000051,185652,M
ESCUELA URBANA PUEBLO NUEVO,68872,368872000051,185655,M
ESCUELA RURAL MIXTA DE TIQU,13810,413549001273,185778,T
CENTRO EDUCATIVO DE PUERTO,13810,413549001273,185787,M
I.E. DE TIQUISIO NUEVO - SE,13810,413549001273,185811,M
,66001,466001006826,185853,
,27001,527001000200,185868,
INSTITUCION EDUCATIVA NACIO,52356,352356000173,185901,M
INSTITUCION EDUCATIVA NACIO,52356,352356000173,185904,T
ESCUELA LOS CHILCOS,52356,352356000173,185907,M
,66001,366001005973,185949,
,66001,366001006541,185952,
,68001,368001005101,185970,
,68001,368001007740,185988,
,68276,368276002152,186006,
,68276,368276002600,186009,
COLEGIO ELISEO PINILLA RUED,68872,368872000051,186030,M
ESCUELA RURAL AGUAFRIA,68872,368872000051,186033,M
ESCUELA RURAL LIMONCITO,68872,368872000051,186036,M
ESCUELA RURAL  CARRIZAL,68872,368872000051,186039,M
ESCUELA RURAL LA LAJITA,68872,368872000051,186042,M
ESCUELA RURAL MACAREGUA RIN,68872,368872000051,186045,M
ESCUELA RURAL EL CHORO,68872,368872000051,186048,M
ESCUELA RURAL ALTO DE MARTA,68872,368872000051,186051,M
ESCUELA RURAL ALTO DEL TRIG,68872,368872000051,186054,M
ESCUELA RURAL HIGUERAS,68872,368872000051,186057,M
,8001,308001076927,186117,
,11001,311001092907,186270,
,11001,311001097658,186288,
,13001,313001013635,186354,
INSTITUTO EDUCATIVO LA EDAD,13001,313001028110,186372,M
INSTITUTO EDUCATIVO LA EDAD,13001,313001028110,186375,T
,13001,313001029141,186378,
,15001,315001002202,186402,
,15759,315759000012,186501,
IE HECTOR JULIO GOMEZ - SED,15776,315776000133,186510,C
ESC ROA,15776,315776000133,186513,C
PEDREGAL BAJO,15776,315776000133,186516,C
ESC VOLCAN,15776,315776000133,186519,C
VALLE ECCEHOMO,15776,315776000133,186522,C
APOSENTOS,15776,315776000133,186525,C
CENT EDUC CAÑON ALTO,15776,315776000133,186528,C
CARRIZAL,15776,315776000133,186531,C
ESC CAÑON BAJO,15776,315776000133,186534,C
,5490,205490000705,189438,
,5490,205490002210,189440,
INST EDUC DIST LEONARDO POS,11001,111001104183,189443,M
INST EDUC DIST LEONARDO POS,11001,111001104183,189444,T
CENT EDUC DIST VILLA AMALIA,11001,111001025216,190275,T
CENT EDUC DIST VILLA AMALIA,11001,111001025216,190276,M
SEDE REPUBLICA DE MEXICO,13001,113001002120,190280,M
SEDE REPUBLICA DE MEXICO,13001,113001002120,190281,T
INSTITUCION EDUCATIVA HIJOS,13001,113001002120,190282,M
INSTITUCION EDUCATIVA HIJOS,13001,113001002120,190283,T
SEDE RAFAEL TONO,13001,113001002120,190285,T
CON ESC VILLA BOLIVAR,50001,150001004664,190305,T
CON ESC VILLA BOLIVAR,50001,150001004664,190306,M
COLEGIO DEPARTAMENTAL GILBE,50001,150001004664,190311,M
COLEGIO DEPARTAMENTAL GILBE,50001,150001004664,190312,T
,19001,319001001180,190385,
,19001,319001003816,190388,
,23001,323001005778,190395,
,44430,344430001443,190399,
COL LA PIEDAD,76001,376001003551,190438,M
FUND COL  NUESTRA SRA DE GU,76001,376001013203,190462,M
SEDE DISTRITAL LUIS CARLOS,13001,113001002120,190509,T
SEDE PALOGORDO NORTE,54874,254874000967,190580,C
SEDE INTEGRADA JUAN FRIO,54874,254874000967,190582,C
SEDE PALOGORDO SUR,54874,254874000967,190583,C
INST TECNICO AGROP JUAN FRI,54874,254874000967,190589,C
COLEGIO LAS ORQUIDEAS,76001,376001016318,190610,T
,76001,376001028316,190641,
